Product Code,Product Name,Short Description ,List Price
SVL-494,1-Year EssentialCare,For Balance SDX  - includes IC2 subscription,$849.00
SVL-503,2-Year EssentialCare,For Balance SDX  - includes IC2 subscription,"$1,649.00"
ECP-BPL-SDX-1Y,1-Year EssentialCare+,"For Balance SDX  - includes IC2, 24/7 email ticket support, and AHR","$1,259.00"
ECP-BPL-SDX-2Y ,2-Year EssentialCare+,"For Balance SDX - includes IC2, 24/7 email ticket support, and AHR","$2,140.00"
ECP-BPL-SDX-4Y,4-Year EssentialCare+,"For Balance SDX - includes IC2, 24/7 email ticket support, and AHR","$3,525.00"
SVL-BPL-SDX-PRO-M2-1Y,1-Year EssentialCare,For Balance SDX Pro  - includes IC2 subscription,"$1,109.00"
SVL-BPL-SDX-PRO-M2-2Y,2-Year EssentialCare,For Balance SDX Pro  - includes IC2 subscription,"$2,149.00"
ECP-BPL-SDX-PRO-M2-1Y,1-Year EssentialCare+,"For Balance SDX Pro - includes IC2, 24/7 email ticket support, and AHR","$1,629.00"
ECP-BPL-SDX-PRO-M2-2Y,2-Year EssentialCare+,"For Balance SDX Pro - includes IC2, 24/7 email ticket support, and AHR","$2,769.00"
ECP-BPL-SDX-PRO-M2-4Y,4-Year EssentialCare+,"For Balance SDX Pro - includes IC2, 24/7 email ticket support, and AHR","$4,561.00"
SVL-BPL-SDX-PRO-M2-1TB-1Y,1-Year EssentialCare,For Balance SDX Pro - 1TB SSD  - includes IC2 subscription,"$1,139.00"
SVL-BPL-SDX-PRO-M2-1TB-2Y,2-Year EssentialCare,For Balance SDX Pro - 1TB SSD  - includes IC2 subscription,"$2,219.00"
ECP-BPL-SDX-PRO-M2-1TB-1Y,1-Year EssentialCare+,"For Balance SDX Pro - 1TB SSD - includes IC2, 24/7 email ticket support, and AHR","$1,679.00"
ECP-BPL-SDX-PRO-M2-1TB-2Y,2-Year EssentialCare+,"For Balance SDX Pro - 1TB SSD - includes IC2, 24/7 email ticket support, and AHR","$2,854.00"
ECP-BPL-SDX-PRO-M2-1TB-4Y,4-Year EssentialCare+,"For Balance SDX Pro - 1TB SSD - includes IC2, 24/7 email ticket support, and AHR","$4,701.00"
SVL-BPL-SDX-PRO-M2-2TB-1Y,1-Year EssentialCare,For Balance SDX Pro - 2TB SSD  - includes IC2 subscription,"$1,207.00"
SVL-BPL-SDX-PRO-M2-2TB-2Y,2-Year EssentialCare,For Balance SDX Pro - 2TB SSD  - includes IC2 subscription,"$2,349.00"
ECP-BPL-SDX-PRO-M2-2TB-1Y,1-Year EssentialCare+,"For Balance SDX Pro - 2TB SSD - includes IC2, 24/7 email ticket support, and AHR","$1,779.00"
ECP-BPL-SDX-PRO-M2-2TB-2Y,2-Year EssentialCare+,"For Balance SDX Pro - 2TB SSD - includes IC2, 24/7 email ticket support, and AHR","$3,024.00"
ECP-BPL-SDX-PRO-M2-2TB-4Y,4-Year EssentialCare+,"For Balance SDX Pro - 2TB SSD - includes IC2, 24/7 email ticket support, and AHR","$4,981.00"
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
LIC-10VWAN-MD,Virtual WAN Activation License,Activate 10 x Virtual WAN for Selected Models. ,"$2,336.00 "
<SDX Licenses & Warranties (click the + to open),,,
EPX and SDX Modules,,,
EXM-4LTEA-R,4 CAT 12 Modems (FirstNet Certified),Flex Module: CAT 12 LTEA Modems (FirstNet Certified),"$2,199.00"
EXM-3LTEA-W,3 CAT LTEA Modems,Flex Module with 3 LTEA Modems ,"$1,499.00"
EXM-4F,4 SFP+ Module,Flex Module with 4 SFP+ ports ,"$1,499.00"
EXM-8C,8 GE Ethernet Module,Flex Module with 8 Gigabit Ethernet ports,"$1,499.00"
EXM-2GLTE-G ,2 CAT 18 LTE Module,Flex Module with 2 CAT 18 LTE Modems ,"$1,699.00"
EXM-LCDT,1TB MediaFast Module,1TB SSD / Includes LCD Module,"$1,999.00"
EXM-SIM-BK56,FlexModule Plus SIM Injector,Expansion Module with 56 SIM slots,"$2,999.00"
EXM-2X5GH,FlexModule Plus 2x 5G (FirstNet Certified),Expansion Module with 2x 5G Modules (FirstNet Certified),"$1,899.00"
EPX-LC-MFA,MediaFast License Key,with Content Hub & Docker (requires LCD Module),"$1,499.00"
SVL-EXM-4LTEA-1Y,1-Year EssentialCare ,For FlexModule Plus 4x LTEA,$379.00
SVL-EXM-4LTEA-2Y,2-Year EssentialCare ,For FlexModule Plus 4x LTEA,$729.00
SVL-507,1-Year EssentialCare ,for FlexModule Plus,$299.00
SVL-509,2-Year EssentialCare ,for FlexModule Plus,$589.00
ECP-EXM-1Y,1-Year EssentialCare+,for FlexModule Plus,$369.00
ECP-EXM-2Y,2-Year EssentialCare+,for FlexModule Plus,$627.00
ECP-EXM-4Y,4-Year EssentialCare+,for FlexModule Plus,"$1,033.00"
